Time, x, y, z
226.4135077,1.992,-14.863,-4.137
226.4239516,1.992,-14.863,-4.137
226.4347996,1.992,-14.863,-4.137
226.4454886,1.992,-14.863,-4.137
226.4567065,1.992,-14.863,-4.137
226.4684145,1.992,-14.863,-4.137
226.4789927,1.992,-14.863,-4.137
226.4895045,1.992,-14.863,-4.137
226.5003485,1.992,-14.863,-4.137
226.5115375,1.992,-14.863,-4.137
226.5234265,1.992,-14.863,-4.137
226.5338246,1.992,-14.863,-4.137
226.5445935,1.992,-14.863,-4.137
226.5554115,1.992,-14.863,-4.137
226.5667057,1.992,-14.863,-4.137
226.5780155,1.992,-14.863,-4.137
226.5890016,1.992,-14.863,-4.137
226.6002266,1.992,-14.863,-4.137
226.6114547,1.992,-14.863,-4.137
226.6222765,1.992,-14.863,-4.137
227.3999257,1.532,-16.089,-14.863
227.4117176,1.532,-16.089,-14.863
227.4220585,1.532,-16.089,-14.863
227.4327807,1.532,-16.089,-14.863
227.4436306,1.532,-16.089,-14.863
227.4552736,1.532,-16.089,-14.863
227.4669566,1.532,-16.089,-14.863
227.4800446,1.532,-16.089,-14.863
227.4905025,1.532,-16.089,-14.863
227.5013415,1.532,-16.089,-14.863
227.5128395,1.532,-16.089,-14.863
227.5247175,1.532,-16.089,-14.863
227.5352857,1.532,-16.089,-14.863
227.5457606,1.532,-16.089,-14.863
227.5567286,1.532,-16.089,-14.863
227.5686507,1.532,-16.089,-14.863
227.5825467,1.532,-16.089,-14.863
227.5930895,1.532,-16.089,-14.863
227.6036946,1.532,-16.089,-14.863
227.6148955,1.532,-16.089,-14.863
227.6280887,1.532,-16.089,-14.863
227.6398205,1.532,-16.089,-14.863
227.6504256,1.532,-16.089,-14.863
227.6608226,1.532,-16.089,-14.863
227.6717286,1.532,-16.089,-14.863
227.6860015,1.532,-16.089,-14.863
227.6977546,1.532,-16.089,-14.863
227.7083456,1.532,-16.089,-14.863
227.7201085,1.532,-16.089,-14.863
227.7313225,1.532,-16.089,-14.863
227.7464215,1.532,-16.089,-14.863
227.7605545,1.532,-16.089,-14.863
227.7731165,0.306,-9.653,-1.072
227.7918345,0.306,-9.653,-1.072
227.8028686,0.306,-9.653,-1.072
227.8144485,0.306,-9.653,-1.072
227.8262655,0.306,-9.653,-1.072
227.8368606,0.306,-9.653,-1.072
227.8474636,0.306,-9.653,-1.072
227.8584835,0.306,-9.653,-1.072
227.8764936,0.306,-9.653,-1.072
228.6582975,0.306,-9.653,-1.072
228.6836457,-3.217,-5.976,-0.153
228.7095096,-3.217,-5.976,-0.153
228.7411446,-3.217,-5.976,-0.153
228.7756307,-3.217,-5.976,-0.153
228.7996165,-3.064,-8.274,1.072
228.8172035,-3.064,-8.274,1.072
228.8324866,-3.064,-8.274,1.072
228.8578815,-3.064,-8.274,1.072
228.8827445,-3.064,-8.274,1.072
228.9108765,-3.064,-8.274,1.072
228.9375636,-3.064,-8.274,1.072
228.9646437,-3.064,-8.274,1.072
228.9906497,-3.064,-8.274,1.072
229.0175855,-3.064,-8.274,1.072
229.0425925,-3.064,-8.274,1.072
229.0677297,-3.064,-8.274,1.072
229.0922455,-3.064,-8.274,1.072
229.1263105,-3.064,-8.274,1.072
229.1500325,-3.064,-8.274,1.072
229.4790495,2.758,-11.186,-3.677
229.5059173,2.758,-11.186,-3.677
229.5384205,2.758,-11.186,-3.677
229.5600374,2.758,-11.186,-3.677
229.5898395,2.758,-11.186,-3.677
229.6293524,2.758,-11.186,-3.677
229.6520295,2.758,-11.186,-3.677
229.6855674,2.758,-11.186,-3.677
229.7553795,2.758,-11.186,-3.677
229.8176174,1.992,-12.718,3.524
229.8546384,1.992,-12.718,3.524
229.8792165,1.992,-12.718,3.524
229.9045944,1.992,-12.718,3.524
229.9350496,1.992,-12.718,3.524
229.9560454,1.992,-12.718,3.524
230.1390004,1.992,-12.718,3.524
230.1660364,1.992,-12.718,3.524
230.1858084,1.992,-12.718,3.524
230.2074235,1.992,-12.718,3.524
230.2400124,1.992,-12.718,3.524
230.2971823,1.992,-12.718,3.524
230.3273325,-0.766,-8.887,-2.145
230.3627894,-0.766,-8.887,-2.145
230.3889864,-0.766,-8.887,-2.145
230.4254473,-0.766,-8.887,-2.145
230.4505923,-0.766,-8.887,-2.145
230.4813354,-0.766,-8.887,-2.145
230.5081273,-0.766,-8.887,-2.145
230.5325084,-0.766,-8.887,-2.145
230.5536173,-0.766,-8.887,-2.145
230.5815185,-0.766,-8.887,-2.145
230.6095713,-0.766,-8.887,-2.145
230.8639954,-0.766,-8.887,-2.145
230.8799394,-6.435,-11.799,-5.976
230.9027443,-6.435,-11.799,-5.976
230.9303175,-6.435,-11.799,-5.976
230.9551952,-6.435,-11.799,-5.976
230.9822824,-6.435,-11.799,-5.976
231.0067583,-6.435,-11.799,-5.976
231.0331553,-6.435,-11.799,-5.976
231.0589993,-6.435,-11.799,-5.976
231.0745333,-6.435,-11.799,-5.976
231.1034604,-6.435,-11.799,-5.976
231.1329003,-6.435,-11.799,-5.976
231.1598123,-6.435,-11.799,-5.976
231.1797283,-6.435,-11.799,-5.976
231.1935013,-6.435,-11.799,-5.976
231.2160323,-6.435,-11.799,-5.976
231.2456024,-6.435,-11.799,-5.976
231.2775643,-6.435,-11.799,-5.976
231.3048573,-6.435,-11.799,-5.976
231.3276303,1.685,-12.105,0.612
231.3581574,1.685,-12.105,0.612
231.6931212,1.685,-12.105,0.612
231.7100404,1.685,-12.105,0.612
231.7377773,1.685,-12.105,0.612
231.7644063,1.685,-12.105,0.612
231.7994254,1.685,-12.105,0.612
231.8422673,-2.145,-5.056,-5.669
231.8751143,-2.145,-5.056,-5.669
231.9227274,-2.145,-5.056,-5.669
231.9650543,-2.145,-5.056,-5.669
232.0161684,-2.145,-5.056,-5.669
232.0290683,-2.145,-5.056,-5.669
232.0773035,-2.145,-5.056,-5.669
232.1156803,-2.145,-5.056,-5.669
232.1810403,-2.145,-5.056,-5.669
232.2940083,-2.145,-5.056,-5.669
232.3173564,0.919,-9.04,-0.459
232.3442493,0.919,-9.04,-0.459
232.3935752,0.919,-9.04,-0.459
232.4383143,0.919,-9.04,-0.459
232.4641104,0.919,-9.04,-0.459
232.4958344,0.919,-9.04,-0.459
232.5195823,0.919,-9.04,-0.459
