Time, x, y, z,,,,,,,,,,,,
12.66841989,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.69566302,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.73460989,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.76037602,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.78441195,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.80464487,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.85789304,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.88204603,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
12.90622501,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
13.1216629,-1.072,-9.807,1.072,98.475617,0.123488147,,,,,,,,,,
13.15488486,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.17676382,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.20625405,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.23130994,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.25636892,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.28309684,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.31678085,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.34871583,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.38105683,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.42131786,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.45255189,-0.766,-9.347,0.766,88.539921,-0.390434601,,,,,,,,,,
13.48717194,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.51792197,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.56139903,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.603303,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.69295697,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.71478801,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.7429369,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.76750903,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.78574805,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.82122784,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
13.854883,-0.919,-9.96,-0.153,100.06957,0.203477895,,,,,,,,,,
