Time, x, y, z,,,,,,,,,
51.6237815,-2.4978333,-6.27005,-5.179184,,,,,,,,,
51.62927347,-3.104828,-5.441681,-4.3222504,,,,,,,,,
51.63426143,-2.5168762,-4.5918884,-4.7983246,,,,,,,,,
51.63926154,-2.5144958,-4.998932,-5.648117,,,,,,,,,
51.64422542,-3.5761414,-6.3367004,-5.955185,,,,,,,,,
51.6495586,-3.6665955,-8.488556,-6.326523,,,,,,,,,
51.65486246,-4.516388,-11.414032,-5.588608,,,,,,,,,
51.65984946,-5.223358,-14.422821,-3.2344208,,,,,,,,,
51.66472941,-4.78537,-16.66513,-1.0563812,,,,,,,,,
51.66961747,-3.2309875,-17.419708,-0.5707855,,,,,,,,,
51.67449361,-2.6216125,-17.724396,-0.18040466,,,,,,,,,
51.67985946,-1.7742004,-17.7482,1.0502472,,,,,,,,,
51.68474561,0.14199829,-16.867462,2.742691,,,,,,,,,
51.68992048,1.7654114,-15.436859,4.616043,,,,,,,,,
51.69486648,3.0508118,-13.339752,5.7919464,,,,,,,,,
51.69970256,2.8770447,-11.378326,5.392044,,,,,,,,,
51.70486742,1.9891663,-8.90036,3.6234283,,,,,,,,,
51.70974546,1.7392273,-7.443573,1.6953278,,,,,,,,,
51.71460253,1.5845032,-6.1462708,1.1145172,,,,,,,,,
51.71985656,1.7130432,-5.2203064,2.0142975,,,,,,,,,
51.72470861,1.5011902,-5.0298767,2.8997955,,,,,,,,,
51.73257857,1.513092,-5.391693,2.9188385,,,,,,,,,
51.73924047,1.2298279,-6.769928,2.2785187,,,,,,,,,
51.74722343,0.8227844,-7.243622,2.2713776,,,,,,,,,
51.7528246,0.5180969,-7.719696,1.9809723,,,,,,,,,
51.7586866,0.35147095,-9.124115,1.7881622,,,,,,,,,
51.76437455,0.6252136,-9.757294,2.4522858,,,,,,,,,
51.77026659,1.2512512,-10.328583,2.4903717,,,,,,,,,
51.7759965,2.3224182,-10.683258,2.5355988,,,,,,,,,
51.97426349,2.9722595,-11.180756,2.0261993,,,,,,,,,
51.98899442,3.219818,-8.426666,-2.2751312,,,,,,,,,
51.99860149,3.205536,-8.51712,-2.222763,,,,,,,,,
52.00550443,3.2364807,-8.659943,-2.196579,,,,,,,,,
52.01280862,3.2936096,-8.781342,-2.1489716,,,,,,,,,
52.02009851,3.564972,-8.698029,-1.9347382,,,,,,,,,
52.02959352,2.9484558,-8.812286,-1.927597,,,,,,,,,
52.03636056,2.6842346,-8.83609,-2.1156464,,,,,,,,,
52.04133755,2.5152283,-8.936066,-2.4298553,,,,,,,,,
52.04621964,2.410492,-9.019379,-2.3108368,,,,,,,,,
52.05145651,1.9986877,-9.162201,-2.0847015,,,,,,,,,
52.05676251,1.763031,-9.238373,-1.9037933,,,,,,,,,
52.06195742,1.4892883,-9.316925,-1.5967255,,,,,,,,,
52.07506853,0.31576538,-9.531158,-1.2111053,,,,,,,,,
52.08206349,0.11343384,-9.831085,-0.958786,,,,,,,,,
52.08837563,-0.067474365,-10.050079,-0.5374603,,,,,,,,,
52.09477144,-0.17697144,-10.323822,0.10762024,,,,,,,,,
52.10066348,0.2562561,-10.521393,0.933609,,,,,,,,,
52.10552364,0.7418518,-10.807037,0.89790344,,,,,,,,,
52.11038857,1.3678894,-10.861786,0.55513,,,,,,,,,
52.11522347,2.2081604,-10.895111,-0.049484253,,,,,,,,,
52.12010342,3.0865173,-10.776093,-0.69218445,,,,,,,,,
52.1249395,3.988678,-10.571381,-1.2682343,,,,,,,,,
52.13022357,4.7408752,-10.404755,-1.7014618,,,,,,,,,
52.13505345,5.2478943,-10.211945,-1.75383,,,,,,,,,
52.13994056,5.9667664,-10.302399,-1.7228851,,,,,,,,,
52.14477855,5.6549377,-10.323822,-2.087082,,,,,,,,,
52.15370446,5.0955505,-10.44046,-2.1156464,,,,,,,,,
52.16029364,3.8268127,-10.607086,-2.6607513,,,,,,,,,
