x_x,x_y,x_z,y_x,y_y,y_z,z_x,z_y,z_z
0.681244349754,-0.732052358284,-0.00234108089856,0.732055539288,0.681244306749,0.000939105892469,0.000907373350523,-0.00235356182278,0.999996818705
0.690919982815,-0.722928447947,-0.00200910340671,0.722931011134,0.690919306189,0.00112493414953,0.000574881433061,-0.00222968264054,0.99999734901
0.700303883249,-0.713842407325,-0.00186778216018,0.713844611943,0.700303392409,0.0010141892644,0.000584042877071,-0.00204354691154,0.999997741402
0.715666820642,-0.698441269947,-0.000891216675592,0.698441783383,0.715665674354,0.00131063934169,-0.000277591423119,-0.00156044405496,0.999998743978
0.728129443621,-0.685439605015,-0.000247402823381,0.685439196897,0.728128500365,0.00141220156168,-0.000787837833868,-0.00119784512996,0.999998972239
0.736714932609,-0.676203444979,-9.52336668478e-05,0.676202935605,0.736714189042,0.00133923220083,-0.000835433434187,-0.00105102964568,0.999999098693
0.751121467044,-0.660163903811,0.000402306984421,0.660163408966,0.751121458538,0.000909937330415,-0.000902889189189,-0.000417885112253,0.999999505081
0.769111499064,-0.639113130321,0.00138154220303,0.63911309923,0.769112588925,0.000521487827103,-0.00139585121808,0.000481879434646,0.999998909695
0.785487651224,-0.61887275622,0.00237936613578,0.618875107439,0.785489328965,-0.000339815484783,-0.00165866416368,0.00173945133991,0.999997111567
0.800106330969,-0.599849840381,0.00316672355892,0.599854165865,0.800109161103,-0.000556787654931,-0.00219973554423,0.00234506164668,0.999994830911
0.812750572712,-0.582599936171,0.00371765118981,0.582605919923,0.812754489313,-0.000694386274254,-0.00261698829516,0.00273028843347,0.999992848423
0.824891908036,-0.565280623006,0.0033402560937,0.565285881222,0.824894644502,-0.000835441535777,-0.00228310045113,0.00257734857193,0.999994072346
0.835542891721,-0.549418955696,0.00262435065166,0.549421815191,0.83554500134,-0.000468750540877,-0.00193522263611,0.00183353668115,0.999996446522
0.84934708873,-0.527828206484,0.002628175551,0.527831927631,0.849348300919,-0.00095911332359,-0.00172598937336,0.00220185507639,0.99999608639
0.863017406822,-0.505166907276,0.00271133114549,0.505171534901,0.863017831518,-0.0013938462363,-0.0016358021333,0.00257260088075,0.999995352927
0.87641402146,-0.481550083358,0.00282492592703,0.481554559852,0.876415342003,-0.00116369558371,-0.00191543071713,0.00238023508768,0.999995332792
0.887237234691,-0.46130401857,0.00294819093928,0.461308580891,0.887239102632,-0.00108072103441,-0.00211720932723,0.00231888172043,0.999995070094
0.896070171476,-0.443901456943,0.00312158843795,0.443906307851,0.896072592561,-0.00104819418953,-0.00233187491661,0.00232494834527,0.999994578473
0.904597915121,-0.426251709844,0.00347732864436,0.426257485208,0.904601210268,-0.00109849280983,-0.00267736126174,0.00247593166874,0.999993350727
0.912856800524,-0.408262021456,0.00381884454607,0.40826819548,0.912861509155,-0.000972452417536,-0.0030890608058,0.00244682257417,0.999992235351
0.920304886906,-0.391181435844,0.00399992355942,0.391188109566,0.920310179705,-0.00101787309854,-0.00328299730958,0.00250147612246,0.999991482237
0.929281690086,-0.369351251136,0.00389791670331,0.369358231932,0.929286276954,-0.00122962120008,-0.00316811837243,0.00258239208873,0.999991647104
0.938000456276,-0.346608216623,0.00422944390704,0.346616881536,0.938005588545,-0.00150109703861,-0.00344694945371,0.00287402636482,0.999989929205
0.944606010749,-0.328175679197,0.0044953353656,0.328185181967,0.944612134455,-0.00154976678359,-0.00373775256799,0.002939221474,0.999988695028
0.950074905428,-0.311990223501,0.00444685459165,0.311999227474,0.950081199347,-0.00148212802647,-0.00376246348952,0.00279554784186,0.99998901433
0.955285434176,-0.295651067639,0.00449282254241,0.295660404882,0.955291828248,-0.00156456628327,-0.0038293909685,0.00282295711316,0.999988683275
0.960221231765,-0.279204603838,0.00446936933964,0.279214077274,0.960227468174,-0.0016457266721,-0.00383211674183,0.00282817252839,0.999988658096
0.963969938066,-0.265975718365,0.00434462266536,0.265984329979,0.963976136349,-0.00153125926662,-0.00378083478741,0.00263168944906,0.999989389693
0.966681215244,-0.255940249286,0.00469221576638,0.255950637295,0.966688257827,-0.00175597483045,-0.0040864852487,0.00289844349877,0.999987449753
