Time, x, y, z,,
10.179106,1.0528564,3.5457916,8.853836,,
10.18589997,1.0528564,3.5457916,8.853836,,
10.19220805,1.0620575,3.5485992,8.841187,,
10.19803405,1.0874481,3.5823212,8.912918,,
10.20410991,1.0737915,3.580536,8.9086,,
10.20822811,1.0839844,3.5631561,8.901428,,
10.21267009,1.0709686,3.5631561,8.778687,,
10.21821404,1.0709686,3.5631561,8.778687,,
10.22421694,1.1059875,3.5631561,8.77449,,
10.22888207,1.0567169,3.5592957,8.759201,,
10.23384309,1.0567169,3.5592957,8.759201,,
10.2398541,1.0528564,3.601471,8.755341,,
10.24595094,1.0720215,3.601471,8.787872,,
10.25183296,1.0720215,3.601471,8.787872,,
10.25749707,1.0869751,3.6314087,8.851135,,
