Time, x, y, z,,,,,,
6.04160285,-2.1193542,-9.4097595,-0.3660736,,,,,,
6.045871973,-2.1193542,-9.4097595,-0.3660736,,,,,,
6.049670935,-2.1360168,-9.395477,-0.35179138,,,,,,
6.053119898,-2.1193542,-9.395477,-0.3660736,,,,,,
6.059756994,-2.1098328,-9.378815,-0.32084656,,,,,,
6.071777821,-2.150299,-9.385956,-0.35655212,,,,,,
6.078191996,-2.1598206,-9.443085,-0.3327484,,,,,,
6.08365202,-2.1669617,-9.450226,-0.3827362,,,,,,
6.088340998,-2.1907654,-9.443085,-0.32798767,,,,,,
6.094209909,-2.1717224,-9.447845,-0.3422699,,,,,,
6.099172831,-2.1598206,-9.419281,-0.39701843,,,,,,
6.103809834,-2.181244,-9.443085,-0.31132507,,,,,,
6.108258009,-2.1741028,-9.445465,-0.36131287,,,,,,
6.112964869,-2.1931458,-9.407379,-0.349411,,,,,,
6.117767811,-2.162201,-9.400238,-0.3256073,,,,,,
6.122491837,-2.2312317,-9.402618,-0.3755951,,,,,,
6.127074003,-2.2431335,-9.41214,-0.33750916,,,,,,
6.131676912,-2.226471,-9.397858,-0.34465027,,,,,,
6.136303902,-2.226471,-9.397858,-0.34465027,,,,,,
6.140889883,-2.2121887,-9.35025,-0.33988953,,,,,,
6.145056963,-2.245514,-9.362152,-0.3089447,,,,,,
6.149012804,-2.207428,-9.404999,-0.2922821,,,,,,
6.152559996,-2.2835999,-9.378815,-0.285141,,,,,,
6.156270981,-2.245514,-9.435944,-0.2756195,,,,,,
6.160228014,-2.245514,-9.435944,-0.2756195,,,,,,
6.164008856,-2.3026428,-9.397858,-0.23277283,,,,,,
6.167622805,-2.3669128,-9.431183,-0.285141,,,,,,
6.171396971,-2.3859558,-9.431183,-0.29466248,,,,,,
6.175190926,-2.3859558,-9.431183,-0.29466248,,,,,,
6.179062843,-2.3788147,-9.383575,-0.38749695,,,,,,
6.182611942,-2.381195,-9.35025,-0.3256073,,,,,,
6.186299801,-2.3859558,-9.385956,-0.34703064,,,,,,
6.190881014,-2.3954773,-9.404999,-0.3589325,,,,,,
6.194719791,-2.3954773,-9.404999,-0.3589325,,,,,,
6.310117006,-2.355011,-9.400238,-0.3184662,,,,,,
6.313838959,-2.059845,-9.376434,-0.24467468,,,,,,
6.317708969,-2.0527039,-9.371674,-0.28276062,,,,,,
6.321271896,-2.0574646,-9.390717,-0.33036804,,,,,,
6.327236891,-2.0431824,-9.426422,-0.3018036,,,,,,
6.330825806,-2.086029,-9.41214,-0.33512878,,,,,,
6.33531785,-2.078888,-9.352631,-0.27799988,,,,,,
6.339989901,-2.078888,-9.352631,-0.27799988,,,,,,
6.344577789,-2.0836487,-9.450226,-0.24943542,,,,,,
6.349177837,-2.1003113,-9.450226,-0.26609802,,,,,,
6.35552001,-2.059845,-9.383575,-0.30418396,,,,,,
6.361243963,-2.0955505,-9.426422,-0.27085876,,,,,,
6.367538929,-2.1455383,-9.421661,-0.34465027,,,,,,
6.373399973,-2.1336365,-9.393097,-0.38511658,,,,,,
6.378489017,-2.1336365,-9.357391,-0.3660736,,,,,,
6.383607864,-2.2193298,-9.41214,-0.27323914,,,,,,
6.388597012,-2.2240906,-9.447845,-0.27323914,,,,,,
6.395373821,-2.2312317,-9.452606,-0.3327484,,,,,,
6.399639845,-2.2312317,-9.435944,-0.29942322,,,,,,
6.404417992,-2.2193298,-9.390717,-0.32084656,,,,,,
6.40844202,-2.2359924,-9.421661,-0.20896912,,,,,,
6.41258502,-2.2359924,-9.404999,-0.33512878,,,,,,
6.417179823,-2.2169495,-9.438324,-0.37321472,,,,,,
6.422091007,-2.188385,-9.4288025,-0.37321472,,,,,,
6.426736832,-2.1455383,-9.424042,-0.25657654,,,,,,
6.431680918,-2.1479187,-9.431183,-0.25419617,,,,,,
6.436020851,-2.1336365,-9.41452,-0.36845398,,,,,,
6.440130949,-2.1764832,-9.402618,-0.26371765,,,,,,
6.443926811,-2.1764832,-9.402618,-0.26371765,,,,,,
6.448054791,-2.1598206,-9.374054,-0.34465027,,,,,,
6.45183897,-2.1574402,-9.378815,-0.31608582,,,,,,
6.455222845,-2.1860046,-9.41452,-0.40415955,,,,,,
6.459205866,-2.1860046,-9.41452,-0.40415955,,,,,,
6.463034868,-2.2193298,-9.421661,-0.33512878,,,,,,
6.46693182,-2.226471,-9.41452,-0.30418396,,,,,,
6.472914934,-2.2026672,-9.41452,-0.33036804,,,,,,
6.476811886,-2.2407532,-9.369293,-0.27799988,,,,,,
6.480559826,-2.2359924,-9.362152,-0.2922821,,,,,,
6.487550974,-2.2026672,-9.381195,-0.26133728,,,,,,
6.491351843,-2.188385,-9.378815,-0.35179138,,,,,,
6.503002882,-2.2121887,-9.459747,-0.37083435,,,,,,
6.512981892,-2.162201,-9.4288025,-0.4160614,,,,,,
6.51768899,-2.2098083,-9.452606,-0.32084656,,,,,,
6.522367001,-2.2383728,-9.4288025,-0.32322693,,,,,,
6.526957989,-2.2312317,-9.397858,-0.3089447,,,,,,
6.531750917,-2.2288513,-9.419281,-0.35655212,,,,,,
6.536278963,-2.2050476,-9.440704,-0.30656433,,,,,,
6.540579796,-2.2550354,-9.393097,-0.37321472,,,,,,
6.545117855,-2.214569,-9.397858,-0.3827362,,,,,,
6.549860001,-2.233612,-9.362152,-0.29942322,,,,,,
6.554381847,-2.2621765,-9.381195,-0.40177917,,,,,,
6.559527874,-2.2621765,-9.381195,-0.40177917,,,,,,
6.563926935,-2.245514,-9.4097595,-0.36131287,,,,,,
6.568692923,-2.245514,-9.4097595,-0.36131287,,,,,,
6.573640823,-2.2597961,-9.421661,-0.41368103,,,,,,
6.578836918,-2.2574158,-9.390717,-0.45176697,,,,,,
6.584064007,-2.188385,-9.421661,-0.36845398,,,,,,
6.589308023,-2.188385,-9.421661,-0.36845398,,,,,,
6.594147921,-2.150299,-9.407379,-0.37797546,,,,,,
6.598655939,-2.1003113,-9.41452,-0.41368103,,,,,,
6.603451014,-2.1169739,-9.4288025,-0.38035583,,,,,,
6.60739994,-2.1455383,-9.431183,-0.3922577,,,,,,
6.611488819,-2.0836487,-9.4288025,-0.32322693,,,,,,
6.616937876,-2.0955505,-9.41452,-0.31608582,,,,,,
6.621884823,-2.105072,-9.426422,-0.3827362,,,,,,
6.627307892,-2.131256,-9.469269,-0.41368103,,,,,,
6.632392883,-2.1788635,-9.376434,-0.26609802,,,,,,
6.636974812,-2.2026672,-9.378815,-0.46842957,,,,,,
6.64198494,-2.2740784,-9.376434,-0.46128845,,,,,,
6.64664793,-2.2312317,-9.326447,-0.45414734,,,,,,
6.651553869,-2.2383728,-9.355011,-0.40415955,,,,,,
6.656143904,-2.3074036,-9.395477,-0.432724,,,,,,
6.659856796,-2.2121887,-9.343109,-0.40177917,,,,,,
6.663683891,-2.2407532,-9.35025,-0.3589325,,,,,,
6.66772294,-2.2407532,-9.35025,-0.3589325,,,,,,
6.671396017,-2.2431335,-9.443085,-0.39701843,,,,,,
6.675778866,-2.1717224,-9.438324,-0.40653992,,,,,,
6.680192947,-2.1717224,-9.440704,-0.3993988,,,,,,
6.684441805,-2.169342,-9.41214,-0.41844177,,,,,,
6.688969851,-2.1479187,-9.454987,-0.44462585,,,,,,
6.693372011,-2.105072,-9.435944,-0.41368103,,,,,,
6.698536873,-2.105072,-9.435944,-0.41368103,,,,,,
6.703119993,-2.1360168,-9.464508,-0.43034363,,,,,,
6.706723928,-2.0717468,-9.438324,-0.39463806,,,,,,
6.711813927,-2.1455383,-9.421661,-0.4660492,,,,,,
6.716935873,-2.1383972,-9.440704,-0.34465027,,,,,,
6.721340895,-2.1764832,-9.378815,-0.34465027,,,,,,
6.725651026,-2.2026672,-9.400238,-0.36131287,,,,,,
6.72951293,-2.188385,-9.4097595,-0.36131287,,,,,,
6.734687805,-2.2050476,-9.426422,-0.31370544,,,,,,
6.739741802,-2.2193298,-9.424042,-0.4160614,,,,,,
6.744887829,-2.1574402,-9.400238,-0.38035583,,,,,,
6.749647856,-2.2050476,-9.407379,-0.4232025,,,,,,
6.754526854,-2.2169495,-9.385956,-0.39701843,,,,,,
6.759225845,-2.131256,-9.393097,-0.44462585,,,,,,
6.764117002,-2.131256,-9.378815,-0.432724,,,,,,
6.769541025,-2.1360168,-9.402618,-0.4232025,,,,,,
6.778429985,-2.0907898,-9.404999,-0.38511658,,,,,,
6.786943913,-2.124115,-9.457367,-0.37083435,,,,,,
6.792328835,-2.1336365,-9.381195,-0.432724,,,,,,
6.79763484,-2.1217346,-9.440704,-0.36369324,,,,,,
6.801806927,-2.1217346,-9.447845,-0.36845398,,,,,,
6.805874825,-2.1455383,-9.381195,-0.24467468,,,,,,
6.92293191,-2.1788635,-9.395477,-0.432724,,,,,,
6.927096844,-2.2431335,-9.376434,-0.45414734,,,,,,
6.93244791,-2.2431335,-9.376434,-0.45414734,,,,,,
6.936800003,-2.2169495,-9.404999,-0.48747253,,,,,,
6.941416025,-2.233612,-9.369293,-0.42796326,,,,,,
6.945465803,-2.233612,-9.369293,-0.42796326,,,,,,
6.949761868,-2.2288513,-9.3454895,-0.50175476,,,,,,
6.954569817,-2.226471,-9.388336,-0.49461365,,,,,,
6.959326983,-2.309784,-9.397858,-0.5207977,,,,,,
6.963461876,-2.2812195,-9.407379,-0.54460144,,,,,,
6.967525005,-2.2288513,-9.426422,-0.5731659,,,,,,
6.971767902,-2.2288513,-9.438324,-0.48747253,,,,,,
6.976593018,-2.2217102,-9.452606,-0.4731903,,,,,,
6.980968952,-2.1288757,-9.445465,-0.38511658,,,,,,
6.984989882,-2.1288757,-9.445465,-0.38511658,,,,,,
