x,y,z,s
0.0462629850973,-0.0071636909565,-0.0116421582845,0.99883576122
0.0442041955608,-0.00298618450777,-0.0157825659876,0.998893378899
0.0419835412384,0.00139689011393,-0.0189126826615,0.998938307103
0.0381149860923,0.00450765657495,-0.0217717337594,0.999025985886
0.0328510617964,0.00550468176441,-0.0254375099491,0.999121333625
0.0282918156525,0.00750150691221,-0.0302774084782,0.999112896072
0.0258627311469,0.0112109003563,-0.0359416096169,0.998956273092
0.0262413821168,0.0143687235065,-0.0417227224926,0.998681202425
0.0273096942662,0.016331076948,-0.0469736149209,0.998389180644
0.0261855903655,0.0155313318995,-0.0501717051408,0.998276461002
0.0239308424354,0.0127490068233,-0.0506872377186,0.998346423611
0.0224036530643,0.00969467351609,-0.0489925350236,0.998500786753
0.0226366305751,0.00629216001999,-0.0452134584317,0.998701023758
0.0227787998147,0.00103883474494,-0.0408512940628,0.998905009936
0.0211747537122,-0.00554258657917,-0.0369793153653,0.99907629327
0.0172979542148,-0.0114137399583,-0.0341905709842,0.999200436437
0.0108458698016,-0.0159187229118,-0.031837620623,0.99930742381
0.00226009582801,-0.0192007567811,-0.0268586617052,0.999452267593
-0.00641365848403,-0.0237765351268,-0.0191161940154,0.999513938116
-0.0138410116917,-0.0287660697403,-0.00887465595397,0.999450939321
-0.0204683388895,-0.0350868015689,0.00167942568128,0.99917322972
-0.0269381412387,-0.0433531109788,0.00828448337762,0.998662210985
-0.033897548655,-0.0511406721398,0.00950158267611,0.998070792968
-0.0400274514893,-0.0549743666169,0.00502448845922,0.997672479654
-0.0427026642327,-0.0551521988628,-0.00242636669419,0.997561441803
-0.0453208406582,-0.0562814051331,-0.0100810649044,0.997334846964
-0.0490194010806,-0.0595472071171,-0.0180745631079,0.996857331122
-0.0525103641718,-0.0627037231729,-0.0267285393018,0.996291367995
-0.0540414841387,-0.0636534031751,-0.0353471761952,0.995880685319
-0.0527099677607,-0.0623488511744,-0.0426189967449,0.995749918992
-0.0495440546767,-0.0597140499824,-0.0479218709113,0.995832874116
-0.0458677226581,-0.0577463498976,-0.0490125224971,0.996071926986
-0.0449620707996,-0.0583699468495,-0.0485196680359,0.996101000556
-0.0463791880761,-0.063380361296,-0.0463010387355,0.995835385256
-0.0502789534289,-0.0710485712367,-0.0432815261417,0.995264204552
-0.0542663449868,-0.0774735849004,-0.0405470714801,0.994690375161
-0.0575450644088,-0.0824943832624,-0.0377730380474,0.994211466384
-0.0606328008819,-0.0869932840024,-0.0346032628747,0.993759752754
-0.0643832227748,-0.0905519779298,-0.0309217272479,0.993327230424
-0.0679962988908,-0.0919428072581,-0.0267134035721,0.993080770935
-0.0705475667197,-0.0926996382535,-0.0221715140077,0.99294422898
-0.0721845937101,-0.0925261707632,-0.0181221382634,0.992924911693
-0.0732941729445,-0.0905479668548,-0.0140607145797,0.993091801505
-0.0747631606914,-0.0879336860343,-0.00906102058696,0.993275407211
-0.0761462027107,-0.0857967712465,-0.00428795279536,0.993389290921
-0.0778647211209,-0.0828282812089,-0.00124272629013,0.993516490386
-0.0800005202838,-0.0795021829031,-0.000436493238853,0.993619207313
-0.0819070640759,-0.0766818553485,-0.000837798259509,0.993685274123
-0.0836167894574,-0.0760020114477,-0.000560218651878,0.993595296351
-0.0847000595426,-0.076660702357,-0.000923175854798,0.993452658346
-0.0840293152368,-0.0766185789999,-0.00289985587367,0.993509063053
-0.0822145868326,-0.0753919464507,-0.0069352617393,0.993734732344
-0.0802784817934,-0.0729435230575,-0.0119613747833,0.994027933872
-0.079797009835,-0.0683889792407,-0.0165827279475,0.994324090965
-0.0818471703586,-0.0643760158307,-0.0187020205526,0.994387753202
-0.0840626780013,-0.0618327844778,-0.019075842862,0.994357222104
-0.0840967309997,-0.0595849881069,-0.0195192099358,0.994482965903
-0.0822566557571,-0.0556841011596,-0.0215734264277,0.994820441454
-0.0807700947035,-0.0508274409576,-0.025001611496,0.995121943517
-0.0800698671504,-0.0463990115306,-0.0287021730647,0.995294998161
-0.0800145319454,-0.0445266420303,-0.0314550466936,0.995301779796
-0.0808779296359,-0.044437280723,-0.0326107770071,0.995198787079
-0.0814706476068,-0.0433409415977,-0.0331904843023,0.995179626053
-0.0823298182713,-0.0422524042909,-0.0326466692039,0.995173718677
