Time, x, y, z,,,,,,,,,,,,
5.938941956,-0.6506653,-9.554962,-0.41844177,,,,,,,,,,,,
5.945477009,-0.66018677,-9.554962,-0.44224548,,,,,,,,,,,,
5.953176022,-0.6506653,-9.574005,-0.43510437,,,,,,,,,,,,
5.959782124,-0.655426,-9.609711,-0.39463806,,,,,,,,,,,,
5.966388941,-0.65304565,-9.619232,-0.36845398,,,,,,,,,,,,
5.97360611,-0.6268616,-9.590668,-0.40415955,,,,,,,,,,,,
5.980150938,-0.61972046,-9.574005,-0.3827362,,,,,,,,,,,,
5.986787081,-0.66018677,-9.638275,-0.43034363,,,,,,,,,,,,
5.993240118,-0.64590454,-9.623993,-0.4089203,,,,,,,,,,,,
5.999999046,-0.66256714,-9.638275,-0.4255829,,,,,,,,,,,,
6.007578135,-0.6816101,-9.581146,-0.3993988,,,,,,,,,,,,
6.013981104,-0.7054138,-9.60495,-0.38035583,,,,,,,,,,,,
6.02709794,-0.66018677,-9.60257,-0.40177917,,,,,,,,,,,,
6.037601948,-0.66256714,-9.616852,-0.39463806,,,,,,,,,,,,
6.045262098,-0.61257935,-9.597809,-0.4565277,,,,,,,,,,,,
6.051738977,-0.6506653,-9.631134,-0.44224548,,,,,,,,,,,,
6.059409142,-0.6578064,-9.60495,-0.45414734,,,,,,,,,,,,
6.067716122,-0.6839905,-9.650177,-0.432724,,,,,,,,,,,,
6.187997103,-0.7411194,-9.595428,-0.2756195,,,,,,,,,,,,
6.198984146,-0.7149353,-9.585907,-0.2922821,,,,,,,,,,,,
6.211029053,-0.66018677,-9.633514,-0.36369324,,,,,,,,,,,,
6.222229958,-0.58639526,-9.600189,-0.36369324,,,,,,,,,,,,
6.233799934,-0.61972046,-9.569244,-0.30418396,,,,,,,,,,,,
6.24637413,-0.69351196,-9.628754,-0.33750916,,,,,,,,,,,,
6.257003069,-0.71969604,-9.614471,-0.31132507,,,,,,,,,,,,
6.264878035,-0.7244568,-9.585907,-0.36131287,,,,,,,,,,,,
6.271342993,-0.7077942,-9.60257,-0.35417175,,,,,,,,,,,,
6.277889013,-0.655426,-9.535919,-0.40415955,,,,,,,,,,,,
6.291521072,-0.69589233,-9.554962,-0.33988953,,,,,,,,,,,,
6.298117161,-0.73635864,-9.60257,-0.40653992,,,,,,,,,,,,
6.304675102,-0.7006531,-9.66684,-0.4255829,,,,,,,,,,,,
6.311125994,-0.62210083,-9.681122,-0.4160614,,,,,,,,,,,,
6.317886114,-0.57925415,-9.621613,-0.432724,,,,,,,,,,,,
6.324523926,-0.5982971,-9.547821,-0.32084656,,,,,,,,,,,,
6.330951929,-0.6578064,-9.4930725,-0.2756195,,,,,,,,,,,,
6.342960119,-0.6887512,-9.524017,-0.3422699,,,,,,,,,,,,
6.355484962,-0.7339783,-9.597809,-0.4398651,,,,,,,,,,,,
6.366618156,-0.61257935,-9.583527,-0.3256073,,,,,,,,,,,,
6.374552965,-0.6482849,-9.559723,-0.3089447,,,,,,,,,,,,
6.388740063,-0.66018677,-9.581146,-0.41368103,,,,,,,,,,,,
6.397877932,-0.69589233,-9.569244,-0.3660736,,,,,,,,,,,,
6.405436039,-0.6911316,-9.635895,-0.44700623,,,,,,,,,,,,
6.413291931,-0.6816101,-9.550201,-0.38987732,,,,,,,,,,,,
6.421175003,-0.7006531,-9.616852,-0.26371765,,,,,,,,,,,,
6.430935144,-0.7292175,-9.588287,-0.38987732,,,,,,,,,,,,
6.442758083,-0.7458801,-9.621613,-0.47795105,,,,,,,,,,,,
6.454136133,-0.67684937,-9.619232,-0.3755951,,,,,,,,,,,,
6.463747978,-0.64590454,-9.571625,-0.45890808,,,,,,,,,,,,
6.47556901,-0.63638306,-9.590668,-0.3327484,,,,,,,,,,,,
6.482217073,-0.674469,-9.583527,-0.3589325,,,,,,,,,,,,
6.48872304,-0.70303345,-9.583527,-0.432724,,,,,,,,,,,,
6.498681068,-0.6673279,-9.588287,-0.3589325,,,,,,,,,,,,
6.507946968,-0.68637085,-9.593048,-0.3660736,,,,,,,,,,,,
6.515514135,-0.6673279,-9.6406555,-0.3827362,,,,,,,,,,,,
6.524035931,-0.62210083,-9.60257,-0.38749695,,,,,,,,,,,,
6.533043146,-0.6839905,-9.593048,-0.37321472,,,,,,,,,,,,
6.540565014,-0.6649475,-9.588287,-0.432724,,,,,,,,,,,,
6.549062967,-0.67922974,-9.578766,-0.47557068,,,,,,,,,,,,
6.562853098,-0.64590454,-9.609711,-0.4565277,,,,,,,,,,,,
6.570544004,-0.6268616,-9.571625,-0.42082214,,,,,,,,,,,,
