Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
11.2108735,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.24303354,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.27001561,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.30523266,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.33669652,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.36123051,0.919,10.266,-1.225,,,,,,,,,,,,,,,,,,,,,
11.61374654,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.63532866,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.66100754,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.68208159,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.71678556,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.74535359,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.76711453,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.78788055,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.81703652,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.83048047,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.88046351,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.90868155,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.95263236,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
11.97031348,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
12.00755733,0.612,9.96,-1.992,,,,,,,,,,,,,,,,,,,,,
12.05004042,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.07380622,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.09429019,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.31739414,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.34055317,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
12.37525213,1.225,9.807,-1.992,,,,,,,,,,,,,,,,,,,,,
