time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430111031811485,1749368951,,,0.2569427490234375,9.833267211914063,0.04327392578125,-0.0707855224609375,-0.0308685302734375,-8.392333984375E-4,-13.18206787109375,-49.82147216796875,22.747802734375,
1470430111036846885,1749368951,,,0.18560791015625,9.860336303710938,0.0299530029296875,-0.0721588134765625,-0.0277862548828125,-0.0030670166015625,-13.18206787109375,-49.82147216796875,22.747802734375,
1470430111041882286,1749368951,,,0.1866455078125,9.868408203125,0.033172607421875,-0.0701141357421875,-0.0238494873046875,-0.006011962890625,-13.18206787109375,-49.82147216796875,22.747802734375,
1470430111046917686,1749368951,,,0.1656646728515625,9.886825561523438,0.0753631591796875,-0.0692901611328125,-0.0184783935546875,-0.0081024169921875,-13.446044921875,-48.223876953125,22.235107421875,
1470430111051953086,1749368951,,,0.151153564453125,9.893585205078125,0.06005859375,-0.0687713623046875,-0.01336669921875,-0.013214111328125,-13.446044921875,-48.223876953125,22.235107421875,
1470430111056988487,1749368951,,,0.151153564453125,9.923583984375,0.0186767578125,-0.066619873046875,-0.009063720703125,-0.017242431640625,-13.446044921875,-48.223876953125,22.235107421875,
1470430111062023887,1749368951,,,0.147674560546875,9.909683227539063,-0.0052947998046875,-0.0650177001953125,-0.005340576171875,-0.020172119140625,-13.446044921875,-48.223876953125,22.235107421875,
1470430111067059288,1749368951,,,0.1329498291015625,9.936065673828125,0.007232666015625,-0.0648040771484375,-0.00439453125,-0.02178955078125,-13.641357421875,-48.5198974609375,21.7254638671875,
1470430111072094688,1749368951,,,0.1139068603515625,9.92596435546875,-0.0334625244140625,-0.06365966796875,-0.0081024169921875,-0.02178955078125,-13.641357421875,-48.5198974609375,21.7254638671875,
1470430111077130088,1749368951,,,0.0968170166015625,9.918853759765625,4.119873046875E-4,-0.062286376953125,-0.012420654296875,-0.0223846435546875,-13.641357421875,-48.5198974609375,21.7254638671875,
1470430111082165489,1749368951,,,0.0811309814453125,9.912155151367188,0.037811279296875,-0.0607452392578125,-0.0157928466796875,-0.0236053466796875,-13.641357421875,-48.5198974609375,21.7254638671875,
1470430111087200889,1749368951,,,0.08734130859375,9.925430297851563,0.043792724609375,-0.06011962890625,-0.0162353515625,-0.0218963623046875,-13.67034912109375,-48.66943359375,21.636962890625,
1470430111092236290,1749368951,,,0.086578369140625,9.914382934570313,0.0192108154296875,-0.058013916015625,-0.0148773193359375,-0.0196533203125,-13.67034912109375,-48.66943359375,21.636962890625,
1470430111097271690,1749368951,,,0.0795135498046875,9.904495239257813,0.057952880859375,-0.0559234619140625,-0.012786865234375,-0.019927978515625,-13.67034912109375,-48.66943359375,21.636962890625,
1470430111102307090,1749368951,,,0.1099853515625,9.89874267578125,0.071014404296875,-0.0529632568359375,-0.0105133056640625,-0.020721435546875,-13.67034912109375,-48.66943359375,21.636962890625,
1470430111107342491,1749368951,,,0.08551025390625,9.887939453125,-0.008544921875,-0.049713134765625,-0.009429931640625,-0.0210723876953125,-13.9434814453125,-48.66943359375,21.636962890625,
1470430111112377891,1749368951,,,0.0704803466796875,9.868881225585938,-0.0526275634765625,-0.04864501953125,-0.0119476318359375,-0.02178955078125,-13.9434814453125,-48.66943359375,21.636962890625,
1470430111117413291,1749368951,,,0.0874176025390625,9.895462036132813,-0.0795440673828125,-0.049041748046875,-0.0177001953125,-0.02178955078125,-13.9434814453125,-48.66943359375,21.636962890625,
1470430111122448692,1749368951,,,0.015869140625,9.865081787109375,-0.0540771484375,-0.0518341064453125,-0.0236358642578125,-0.0224761962890625,-13.9434814453125,-48.66943359375,21.636962890625,
1470430111127484092,1749368951,,,-0.026336669921875,9.845077514648438,-0.1381072998046875,-0.0542449951171875,-0.0281982421875,-0.023590087890625,-13.45062255859375,-48.94561767578125,20.57037353515625,
1470430111132519493,1749368951,,,-0.0148468017578125,9.878768920898438,-0.1430816650390625,-0.058837890625,-0.032012939453125,-0.0224609375,-13.45062255859375,-48.94561767578125,20.57037353515625,
