Time, x, y, z,,,
16.97554695,0.459,0.612,9.04,,,
17.00266611,0.459,0.612,9.04,,,
17.01647102,0.459,0.612,9.04,,,
17.03167402,0.459,0.612,9.04,,,
17.05745995,0.459,0.612,9.04,,,
17.08860814,0.459,0.612,9.04,,,
17.120597,0.459,0.612,9.04,,,
17.14153492,0.459,0.612,9.04,,,
17.16932499,0.459,0.612,9.04,,,
17.19073808,0.459,0.612,9.04,,,
17.21967399,0.459,0.612,9.04,,,
17.24042809,-0.153,1.379,9.807,,,
17.2617551,-0.153,1.379,9.807,,,
17.29140794,-0.153,1.379,9.807,,,
17.32370293,-0.153,1.379,9.807,,,
17.59414185,-0.153,1.379,9.807,,,
17.62158692,-0.153,1.379,9.807,,,
17.64682186,-0.153,1.379,9.807,,,
17.67062605,-0.153,1.379,9.807,,,
17.692428,-0.153,1.379,9.807,,,
17.71940601,-0.153,1.379,9.807,,,
17.74507702,0.766,-1.532,11.186,,,
17.77627194,0.766,-1.532,11.186,,,
17.79714096,0.766,-1.532,11.186,,,
17.83062304,0.766,-1.532,11.186,,,
17.85570491,0.766,-1.532,11.186,,,
17.88418091,0.766,-1.532,11.186,,,
17.90835584,0.766,-1.532,11.186,,,
17.93300498,0.766,-1.532,11.186,,,
17.95955885,0.766,-1.532,11.186,,,
17.985021,0.766,-1.532,11.186,,,
18.00509584,0.766,-1.532,11.186,,,
18.03633988,0.766,-1.532,11.186,,,
18.06484688,0.766,-1.532,11.186,,,
18.37731302,0.766,-1.532,11.186,,,
18.38742388,-0.153,-1.532,12.411,,,
18.40607083,-0.153,-1.532,12.411,,,
18.42746103,-0.153,-1.532,12.411,,,
18.44887889,-0.153,-1.532,12.411,,,
18.471259,-0.153,-1.532,12.411,,,
18.49472487,-0.153,-1.532,12.411,,,
18.52500093,-0.153,-1.532,12.411,,,
18.57336891,-0.153,-1.532,12.411,,,
18.59029902,-0.153,-1.532,12.411,,,
18.63297594,-0.153,-1.532,12.411,,,
18.65549791,-0.153,-1.532,12.411,,,
18.6650709,-0.153,-1.532,12.411,,,
18.67460192,-0.153,-1.532,12.411,,,
18.68556488,-0.153,-1.532,12.411,,,
18.72084105,-0.153,-1.532,12.411,,,
18.76849306,1.072,-0.766,9.96,,,
18.80009497,1.072,-0.766,9.96,,,
18.81792796,1.072,-0.766,9.96,,,
18.84442199,1.072,-0.766,9.96,,,
18.87001503,1.072,-0.766,9.96,,,
19.110124,1.072,-0.766,9.96,,,
19.13296998,1.072,-0.766,9.96,,,
19.16343987,1.072,-0.766,9.96,,,
19.18613303,1.072,-0.766,9.96,,,
19.20922387,1.072,-0.766,9.96,,,
19.23277605,0.919,0.459,9.653,,,
19.25192583,0.919,0.459,9.653,,,
19.27641285,0.919,0.459,9.653,,,
19.30248702,0.919,0.459,9.653,,,
19.32643283,0.919,0.459,9.653,,,
19.34745896,0.919,0.459,9.653,,,
19.35725987,0.919,0.459,9.653,,,
19.37735999,0.919,0.459,9.653,,,
19.40309895,0.919,0.459,9.653,,,
19.42653287,0.919,0.459,9.653,,,
19.4508859,0.919,0.459,9.653,,,
19.47561992,0.919,0.459,9.653,,,
19.50532496,0.919,0.459,9.653,,,
19.52760804,0.919,0.459,9.653,,,
19.54310406,0.919,0.459,9.653,,,
19.57355583,0.919,0.459,9.653,,,
19.59576786,0.919,0.459,9.653,,,
19.90785783,0.919,0.459,9.653,,,
19.9248709,0.766,0.153,10.419,,,
19.94065373,0.766,0.153,10.419,,,
19.96461885,0.766,0.153,10.419,,,
19.98065894,0.766,0.153,10.419,,,
20.00479477,0.766,0.153,10.419,,,
20.02880781,0.766,0.153,10.419,,,
20.05468982,0.766,0.153,10.419,,,
20.06556194,0.766,0.153,10.419,,,
20.08100384,0.766,0.153,10.419,,,
20.10008901,0.766,0.153,10.419,,,
20.12623494,0.766,0.153,10.419,,,
20.14911192,0.766,0.153,10.419,,,
20.17509811,0.766,0.153,10.419,,,
20.19958013,0.766,0.153,10.419,,,
20.22688692,0.766,0.153,10.419,,,
20.25075191,0.306,0.459,10.726,,,
20.27573603,0.306,0.459,10.726,,,
20.29966896,0.306,0.459,10.726,,,
20.33012097,0.306,0.459,10.726,,,
20.35469811,0.306,0.459,10.726,,,
20.37667792,0.306,0.459,10.726,,,
20.69036096,0.306,0.459,10.726,,,
20.70733898,0.306,0.459,10.726,,,
20.72188609,0.306,0.459,10.726,,,
20.74221294,0.459,-0.153,7.968,,,
20.76580995,0.459,-0.153,7.968,,,
20.79088109,0.459,-0.153,7.968,,,
20.8158211,0.459,-0.153,7.968,,,
20.83968394,0.459,-0.153,7.968,,,
20.86387198,0.459,-0.153,7.968,,,
20.889234,0.459,-0.153,7.968,,,
20.91473001,0.459,-0.153,7.968,,,
20.94038098,0.459,-0.153,7.968,,,
20.963988,0.459,-0.153,7.968,,,
20.98836201,0.459,-0.153,7.968,,,
21.01236599,0.459,-0.153,7.968,,,
21.0366401,0.459,-0.153,7.968,,,
21.06004994,0.459,-0.153,7.968,,,
21.08521908,0.459,-0.153,7.968,,,
21.11258691,0.459,-0.153,7.968,,,
21.13596504,0.459,-0.153,7.968,,,
21.16127103,0.459,-0.153,7.968,,,
21.51135414,0.459,-0.153,7.968,,,
21.52151292,-0.153,-1.532,8.887,,,
21.5464031,-0.153,-1.532,8.887,,,
21.57053011,-0.153,-1.532,8.887,,,
21.59662002,-0.153,-1.532,8.887,,,
21.62095802,-0.153,-1.532,8.887,,,
21.64435404,-0.153,-1.532,8.887,,,
21.6713981,-0.153,-1.532,8.887,,,
21.70341604,-0.153,-1.532,8.887,,,
21.72711199,-0.153,-1.532,8.887,,,
21.755001,0,-1.532,7.814,,,
21.78325694,0,-1.532,7.814,,,
21.80239194,0,-1.532,7.814,,,
21.8290519,0,-1.532,7.814,,,
21.85171192,0,-1.532,7.814,,,
21.878457,0,-1.532,7.814,,,
21.90364712,0,-1.532,7.814,,,
21.92748707,0,-1.532,7.814,,,
21.95268195,0,-1.532,7.814,,,
21.9798271,0,-1.532,7.814,,,
22.00442307,0,-1.532,7.814,,,
22.33817499,0,-1.532,7.814,,,
22.35937303,1.225,-3.371,11.492,,,
22.3775081,1.225,-3.371,11.492,,,
22.39859002,1.225,-3.371,11.492,,,
22.42161196,1.225,-3.371,11.492,,,
22.44448894,1.225,-3.371,11.492,,,
22.47328704,1.225,-3.371,11.492,,,
22.49405592,1.225,-3.371,11.492,,,
22.51872795,1.225,-3.371,11.492,,,
22.54296391,1.225,-3.371,11.492,,,
22.56680911,1.225,-3.371,11.492,,,
22.59094399,1.225,-3.371,11.492,,,
22.60884493,1.225,-3.371,11.492,,,
22.63256996,1.225,-3.371,11.492,,,
22.65951102,1.225,-3.371,11.492,,,
22.69441693,1.225,-3.371,11.492,,,
22.74848002,1.225,-3.371,11.492,,,
22.78407496,-2.298,-2.451,10.419,,,
22.81202096,-2.298,-2.451,10.419,,,
23.02781195,-2.298,-2.451,10.419,,,
23.04514498,-2.298,-2.451,10.419,,,
23.06009907,-2.298,-2.451,10.419,,,
23.08114594,-2.298,-2.451,10.419,,,
23.108329,-2.298,-2.451,10.419,,,
23.13143605,-2.298,-2.451,10.419,,,
23.15052313,-2.298,-2.451,10.419,,,
23.17685312,-2.298,-2.451,10.419,,,
23.20117015,-2.298,-2.451,10.419,,,
23.22015804,-2.298,-2.451,10.419,,,
23.23868698,-2.298,-2.451,10.419,,,
23.26277608,0.919,0,7.661,,,
23.27925104,0.919,0,7.661,,,
23.30536503,0.919,0,7.661,,,
23.326235,0.919,0,7.661,,,
23.350326,0.919,0,7.661,,,
23.36631102,0.919,0,7.661,,,
23.38021511,0.919,0,7.661,,,
23.69250006,0.919,0,7.661,,,
23.70959395,0.919,0,7.661,,,
23.73596806,0.919,0,7.661,,,
23.76863808,-1.379,-0.153,12.871,,,
23.80558008,-1.379,-0.153,12.871,,,
23.82620996,-1.379,-0.153,12.871,,,
23.83602709,-1.379,-0.153,12.871,,,
23.86025399,-1.379,-0.153,12.871,,,
23.90413803,-1.379,-0.153,12.871,,,
23.986664,-1.379,-0.153,12.871,,,
24.00766701,-1.379,-0.153,12.871,,,
24.01997799,-1.379,-0.153,12.871,,,
24.03237814,-1.379,-0.153,12.871,,,
24.04222006,-1.379,-0.153,12.871,,,
24.05181712,-1.379,-0.153,12.871,,,
24.06179899,-1.379,-0.153,12.871,,,
24.07168216,-1.379,-0.153,12.871,,,
24.08170599,-1.379,-0.153,12.871,,,
24.09140915,-1.379,-0.153,12.871,,,
24.10168118,-1.379,-0.153,12.871,,,
24.11137694,-1.379,-0.153,12.871,,,
24.12144298,-1.379,-0.153,12.871,,,
24.13447708,-1.379,-0.153,12.871,,,
24.14436215,-1.379,-0.153,12.871,,,
24.15509004,-1.379,-0.153,12.871,,,
24.16492814,-1.379,-0.153,12.871,,,
24.19073504,-1.379,-0.153,12.871,,,
24.60576387,-0.766,1.685,11.032,,,
24.63263889,-0.766,1.685,11.032,,,
24.65737887,-0.766,1.685,11.032,,,
24.68071886,-0.766,1.685,11.032,,,
24.696938,-0.766,1.685,11.032,,,
24.71808597,-0.766,1.685,11.032,,,
24.7485809,-0.766,1.685,11.032,,,
24.76471898,1.532,-0.612,12.565,,,
24.78066394,1.532,-0.612,12.565,,,
24.79215595,1.532,-0.612,12.565,,,
24.83949992,1.532,-0.612,12.565,,,
24.87040088,1.532,-0.612,12.565,,,
24.88796803,1.532,-0.612,12.565,,,
24.89754698,1.532,-0.612,12.565,,,
24.92121288,1.532,-0.612,12.565,,,
24.94636986,1.532,-0.612,12.565,,,
24.97115204,1.532,-0.612,12.565,,,
24.99599883,1.532,-0.612,12.565,,,
25.01934096,1.532,-0.612,12.565,,,
25.03758189,1.532,-0.612,12.565,,,
25.06558797,1.532,-0.612,12.565,,,
25.37890102,1.532,-0.612,12.565,,,
25.38604881,1.685,0.612,11.339,,,
25.40819289,1.685,0.612,11.339,,,
25.43332579,1.685,0.612,11.339,,,
25.45336773,1.685,0.612,11.339,,,
25.47899272,1.685,0.612,11.339,,,
25.50458385,1.685,0.612,11.339,,,
25.52978684,1.685,0.612,11.339,,,
25.55377986,1.685,0.612,11.339,,,
25.5755799,1.685,0.612,11.339,,,
25.60100986,1.685,0.612,11.339,,,
25.62036778,1.685,0.612,11.339,,,
25.64393093,1.685,0.612,11.339,,,
25.66929986,1.685,0.612,11.339,,,
25.69363691,1.685,0.612,11.339,,,
25.71850183,1.685,0.612,11.339,,,
25.74408485,1.685,0.612,11.339,,,
25.77344992,1.225,0.153,10.113,,,
25.79775383,1.225,0.153,10.113,,,
25.82703783,1.225,0.153,10.113,,,
25.85518076,1.225,0.153,10.113,,,
26.16225578,1.225,0.153,10.113,,,
26.18228986,1.225,0.153,10.113,,,
26.20832088,1.225,0.153,10.113,,,
26.22661592,1.225,0.153,10.113,,,
26.24950077,1.225,0.153,10.113,,,
26.27512886,-0.306,0.612,8.581,,,
26.2950299,-0.306,0.612,8.581,,,
26.32317092,-0.306,0.612,8.581,,,
26.34447672,-0.306,0.612,8.581,,,
26.37133982,-0.306,0.612,8.581,,,
26.57850983,-0.306,0.612,8.581,,,
26.5890887,-0.306,0.612,8.581,,,
26.61620976,-0.306,0.612,8.581,,,
26.64364888,-0.306,0.612,8.581,,,
26.69958879,-0.306,0.612,8.581,,,
26.71272089,-0.306,0.612,8.581,,,
26.73727681,-0.306,0.612,8.581,,,
26.76437571,-0.306,0.612,8.581,,,
26.78574588,0.612,1.072,7.968,,,
26.8132117,0.612,1.072,7.968,,,
26.88846685,0.612,1.072,7.968,,,
26.91186883,0.612,1.072,7.968,,,
26.93363692,0.612,1.072,7.968,,,
26.9523988,0.612,1.072,7.968,,,
26.9857867,0.612,1.072,7.968,,,
27.01601173,0.612,1.072,7.968,,,
27.03798677,0.612,1.072,7.968,,,
27.05664875,0.612,1.072,7.968,,,
27.08597877,0.612,1.072,7.968,,,
27.10056474,0.612,1.072,7.968,,,
27.11032178,0.612,1.072,7.968,,,
27.12216188,0.612,1.072,7.968,,,
27.14649083,0.612,1.072,7.968,,,
27.17089774,0.612,1.072,7.968,,,
27.42368891,0.612,1.072,7.968,,,
27.43367888,1.685,-0.459,8.427,,,
27.45275189,1.685,-0.459,8.427,,,
27.47712876,1.685,-0.459,8.427,,,
27.50245692,1.685,-0.459,8.427,,,
27.53119471,1.685,-0.459,8.427,,,
27.55926778,1.685,-0.459,8.427,,,
27.58614184,1.685,-0.459,8.427,,,
27.61303975,1.685,-0.459,8.427,,,
27.63481476,1.685,-0.459,8.427,,,
27.66216089,1.685,-0.459,8.427,,,
27.68907978,1.685,-0.459,8.427,,,
27.71442487,1.685,-0.459,8.427,,,
27.73190786,1.685,-0.459,8.427,,,
27.75766971,1.685,-0.459,8.427,,,
27.78034093,-0.153,-0.459,10.573,,,
28.05761387,-0.153,-0.459,10.573,,,
28.0675347,-0.153,-0.459,10.573,,,
28.07930281,-0.153,-0.459,10.573,,,
28.1055298,-0.153,-0.459,10.573,,,
28.14047172,-0.153,-0.459,10.573,,,
28.1595247,-0.153,-0.459,10.573,,,
28.17572691,-0.153,-0.459,10.573,,,
28.20392682,-0.153,-0.459,10.573,,,
28.23952486,-0.153,-0.459,10.573,,,
28.27292993,-0.153,-0.459,10.573,,,
28.30490782,-0.612,-1.838,7.968,,,
28.33449175,-0.612,-1.838,7.968,,,
28.36586787,-0.612,-1.838,7.968,,,
28.39183189,-0.612,-1.838,7.968,,,
28.42082574,-0.612,-1.838,7.968,,,
28.4435599,-0.612,-1.838,7.968,,,
28.4798248,-0.612,-1.838,7.968,,,
28.50691487,-0.612,-1.838,7.968,,,
28.53352477,-0.612,-1.838,7.968,,,
28.55370976,-0.612,-1.838,7.968,,,
28.78745582,-0.612,-1.838,7.968,,,
28.79968693,1.685,-0.766,9.5,,,
28.82649877,1.685,-0.766,9.5,,,
28.85214974,1.685,-0.766,9.5,,,
28.87721374,1.685,-0.766,9.5,,,
28.91151382,1.685,-0.766,9.5,,,
28.96591475,1.685,-0.766,9.5,,,
28.99225189,1.685,-0.766,9.5,,,
29.00197675,1.685,-0.766,9.5,,,
29.05181171,1.685,-0.766,9.5,,,
29.0835848,1.685,-0.766,9.5,,,
29.10804774,1.685,-0.766,9.5,,,
29.13754775,1.685,-0.766,9.5,,,
29.16997888,1.685,-0.766,9.5,,,
29.19849088,1.685,-0.766,9.5,,,
29.23172786,1.685,-0.766,9.5,,,
29.25432183,1.685,-0.766,9.5,,,
29.27365877,1.685,-0.766,9.5,,,
29.28339984,0,-0.766,12.718,,,
29.49129178,0,-0.766,12.718,,,
29.51051881,0,-0.766,12.718,,,
29.53858687,0,-0.766,12.718,,,
29.5682347,0,-0.766,12.718,,,
29.59349682,0,-0.766,12.718,,,
29.62755777,0,-0.766,12.718,,,
29.65782382,0,-0.766,12.718,,,
29.68845989,0,-0.766,12.718,,,
29.72185685,0,-0.766,12.718,,,
29.73803188,0,-0.766,12.718,,,
29.75361874,0,-0.766,12.718,,,
29.78595879,0,-0.766,12.718,,,
29.81855084,0.612,0.459,11.952,,,
29.8467858,0.612,0.459,11.952,,,
29.87671282,0.612,0.459,11.952,,,
29.91102077,0.612,0.459,11.952,,,
29.94113876,0.612,0.459,11.952,,,
29.96493175,0.612,0.459,11.952,,,
30.00107672,0.612,0.459,11.952,,,
30.02319171,0.612,0.459,11.952,,,
30.06055476,0.612,0.459,11.952,,,
30.09430577,0.612,0.459,11.952,,,
30.40220978,0.612,0.459,11.952,,,
30.42419078,0.306,1.992,10.726,,,
30.45244672,0.306,1.992,10.726,,,
30.48064186,0.306,1.992,10.726,,,
30.51186683,0.306,1.992,10.726,,,
30.54809882,0.306,1.992,10.726,,,
