Time, x, y, z,,,,
91.33790852,8.243042,-6.6482086,-5.9754333,,,,
91.35308338,8.208771,-6.8821564,-6.52594,,,,
91.36128546,7.828659,-7.001541,-7.7470703,,,,
91.37005259,7.206238,-6.851532,-9.029785,,,,
91.38618661,7.453659,-8.0499115,-8.56105,,,,
91.39458753,8.780334,-10.614426,-5.465454,,,,
91.40426661,9.124634,-10.658142,-5.1591187,,,,
91.41260339,9.520828,-10.356247,-3.7192535,,,,
91.42256046,9.321747,-9.95047,-2.9876251,,,,
91.42941142,8.7829895,-9.258209,-1.7523193,,,,
91.43640543,8.769455,-9.038803,-1.2716217,,,,
91.44369341,8.319534,-8.357788,-0.5094757,,,,
91.4521916,7.891922,-7.818207,-0.27534485,,,,
91.45826341,7.6160736,-7.1604004,-0.2159729,,,,
91.46446539,7.09729,-5.513077,-0.05747986,,,,
91.47144557,7.0091553,-4.726303,-0.12652588,,,,
91.49663952,8.003128,-4.1651306,-0.07258606,,,,
91.50398353,8.672211,-4.5400696,0.07069397,,,,
91.51059249,9.374741,-4.9431305,0.24308777,,,,
91.51728442,10.426498,-5.660507,0.43901062,,,,
91.5241144,10.896652,-6.122925,0.6121826,,,,
91.53273347,10.896652,-6.122925,0.6121826,,,,
91.53896955,10.411896,-6.438507,0.6695099,,,,
91.54759434,9.890808,-6.5033264,0.5268707,,,,
91.55395344,9.077774,-6.576065,0.3273468,,,,
91.55977753,8.399399,-6.46019,0.5128174,,,,
91.56577137,8.399399,-6.46019,0.5128174,,,,
91.57257846,8.244186,-6.0289154,0.7764435,,,,
91.57885554,8.0121,-5.7801056,0.769928,,,,
91.58488539,7.921707,-5.463394,0.7190399,,,,
91.59163836,7.573059,-4.9814453,0.39595032,,,,
91.59716657,7.400528,-4.7048492,0.2361908,,,,
91.6039615,7.3006897,-4.561447,0.0206604,,,,
91.60985044,6.6171417,-4.201935,-0.28497314,,,,
91.61615255,6.6171417,-4.201935,-0.28497314,,,,
91.62304452,6.16243,-3.9823608,-0.6819,,,,
91.62930253,5.5110474,-3.8154755,-1.436264,,,,
91.63533047,5.5110474,-3.8154755,-1.436264,,,,
91.64206055,4.9876404,-3.6668549,-1.7853088,,,,
91.64760449,4.833023,-3.4811096,-1.9050446,,,,
91.65439036,4.6366425,-3.4032898,-2.0134125,,,,
91.66107443,4.4190216,-3.319168,-2.0527802,,,,
91.66768339,4.0643005,-3.257187,-2.2552795,,,,
91.67520836,3.9510956,-3.3376923,-2.4461517,,,,
91.68260339,3.8775024,-3.5026703,-2.7755432,,,,
91.69032434,3.996643,-3.6074371,-3.081482,,,,
91.69776443,4.2586823,-3.7361603,-3.4165497,,,,
91.70517543,4.4184265,-3.8466187,-3.5041656,,,,
91.71335557,4.744858,-4.0253296,-3.9292297,,,,
91.72044137,4.7958984,-4.077408,-4.0280304,,,,
91.72786644,5.1877594,-4.2562714,-4.0040894,,,,
91.84356335,5.886429,-4.16391,-3.7657928,,,,
91.87646654,9.485199,-6.8716736,-5.139801,,,,
91.88990644,10.314087,-6.3350983,-5.256256,,,,
91.9028025,10.351456,-5.830658,-5.038025,,,,
91.91450551,10.587296,-5.03891,-5.1535645,,,,
91.92677453,10.340134,-4.3830414,-4.688385,,,,
91.94020846,10.264404,-4.245056,-4.392029,,,,
91.94924953,11.225906,-5.5774384,-2.3890839,,,,
91.96468738,11.406342,-6.85643,-2.4448242,,,,
91.97494438,11.310318,-6.976898,-2.4097443,,,,
91.99025538,8.940979,-5.914505,-1.2988586,,,,
92.01260355,6.7250366,-5.291092,-0.67796326,,,,
92.03348353,6.4225616,-6.049515,0.46070862,,,,
92.04401234,6.9727783,-7.422928,1.4219208,,,,
92.0537534,7.221527,-9.079224,1.8201904,,,,
92.06364539,7.723236,-10.963928,1.3096619,,,,
92.07356647,7.984436,-12.133575,1.2724762,,,,
92.08344343,7.904236,-12.468933,1.588211,,,,
92.0911124,7.336334,-11.541458,1.3343964,,,,
92.09893849,7.0607758,-10.810654,0.7408905,,,,
92.10672644,6.580765,-9.128174,-0.48120117,,,,
92.11501554,6.378418,-8.17955,-0.8523102,,,,
92.13295749,5.951248,-6.7579346,-1.4428558,,,,
92.15764454,5.3278503,-4.9233704,-1.8775177,,,,
92.18122843,5.2305603,-3.8295593,-1.7724304,,,,
92.21589854,5.3164673,-2.7486115,-2.4714203,,,,
92.23925546,5.577362,-2.0575562,-3.021759,,,,
92.26402143,5.5693054,-2.3179932,-3.8837738,,,,
92.27873543,5.535904,-3.769577,-4.4344635,,,,
92.29031446,5.490097,-4.256134,-4.3758698,,,,
92.3013325,4.89888,-5.7890778,-3.9543915,,,,
92.31255749,4.6885834,-6.312042,-3.9021454,,,,
92.32282641,4.692932,-6.3991547,-4.057663,,,,
92.33119753,4.85907,-6.4112854,-4.147171,,,,
92.58669856,8.869431,-8.26709,-0.17242432,,,,
92.61674145,11.17981,-6.972412,0.789978,,,,
92.63354733,10.020126,-7.595886,0.2111969,,,,
92.64190152,9.1519165,-7.472473,0.019165039,,,,
92.65047553,8.315933,-6.683243,0.026062012,,,,
92.65974334,7.8984528,-6.2873383,-0.104537964,,,,
92.66791847,6.62912,-5.1808167,-0.75434875,,,,
92.67996934,5.6072845,-4.7810364,-1.1469421,,,,
92.6862624,5.135208,-4.6970367,-1.5782471,,,,
92.69267633,5.135208,-4.6970367,-1.5782471,,,,
92.69965652,4.741791,-4.70372,-1.9438934,,,,
92.70680049,4.4815826,-4.7090454,-2.1654816,,,,
92.71527842,3.9731445,-4.6365814,-2.7572937,,,,
92.72679737,3.6289825,-4.415619,-3.6531372,,,,
92.74136642,3.5284576,-3.782257,-4.248947,,,,
92.75097754,3.3021545,-3.407318,-4.2520905,,,,
92.7722955,3.9156647,-3.1419373,-3.831955,,,,
92.77968243,4.1977997,-3.1913452,-3.8125,,,,
92.79149654,5.5194397,-3.392807,-3.8391418,,,,
92.79935244,5.5194397,-3.392807,-3.8391418,,,,
92.81039455,6.2669067,-3.4296112,-3.100647,,,,
92.81792739,6.4459076,-3.4487762,-2.7216644,,,,
92.8254824,6.81073,-3.5845184,-2.1075592,,,,
92.83196643,7.015274,-3.7110138,-1.8541565,,,,
92.83906534,7.450821,-4.0420837,-1.5995636,,,,
92.84813455,7.58403,-4.1109314,-1.6242523,,,,
92.85711339,8.072571,-4.3580475,-1.9966431,,,,
92.86657837,8.212067,-4.6291046,-2.5537415,,,,
92.87285641,8.485367,-4.8464355,-3.0160675,,,,
92.88011053,8.647705,-4.979065,-3.2075958,,,,
92.89512852,8.954895,-5.258484,-3.67688,,,,
92.90882257,9.185776,-5.910843,-5.2992554,,,,
92.91938856,9.491119,-6.4815826,-6.3041077,,,,
92.93639949,9.496582,-6.6853333,-8.90979,,,,
92.95872453,9.682022,-5.7392426,-6.354706,,,,
92.98287156,10.432632,-4.226486,-4.6904907,,,,
92.99459556,9.902786,-3.805603,-5.081726,,,,
93.00548151,9.828857,-3.8774567,-4.599777,,,,
93.01763037,10.226547,-4.7831726,-3.958191,,,,
93.0286515,11.005508,-6.4300537,-3.1948242,,,,
93.04412344,10.840347,-7.4087067,-2.1835938,,,,
93.05529645,8.110443,-6.681137,-1.0465088,,,,
93.06749156,6.6165466,-6.578766,-0.6250305,,,,
93.08263448,5.58609,-6.8124695,-0.46469116,,,,
93.13864043,5.169342,-7.3433075,0.2013092,,,,
93.16111448,7.259552,-13.437881,0.56547546,,,,
93.18118837,6.664444,-10.078751,-1.5988922,,,,
93.19453743,6.380661,-6.972412,-3.2144012,,,,
93.20552853,5.700989,-5.821579,-3.9187622,,,,
93.22918537,5.3109283,-4.546341,-3.8398895,,,,
93.24980047,5.420944,-3.1587372,-3.2306213,,,,
93.26402357,5.5316925,-2.7370758,-2.9362946,,,,
93.27620247,5.597824,-2.2863617,-2.3493195,,,,
93.28979257,6.0356445,-1.8411255,-2.0750732,,,,
93.31417635,6.082199,-1.9439545,-2.9443817,,,,
93.33188537,5.31752,-2.8033752,-4.5464935,,,,
93.34671548,4.5124207,-3.716095,-4.0917816,,,,
93.36524156,4.045105,-5.151642,-2.8287354,,,,
93.38103655,3.9592285,-5.451416,-2.8761292,,,,
93.39528754,4.6082764,-5.3983154,-3.723236,,,,
93.41330054,5.4082184,-5.2888794,-4.449356,,,,
93.42385748,6.1106415,-5.147476,-4.9939117,,,,
93.44691041,6.5698395,-5.167633,-5.6037903,,,,
93.47419956,7.5935516,-7.7972565,-6.958313,,,,
93.49601343,7.720825,-8.188446,-6.872467,,,,
93.5193024,7.590622,-7.255905,-7.4651337,,,,
93.5299454,7.0450897,-5.5835266,-9.846603,,,,
93.54160955,6.977707,-5.1263275,-9.961258,,,,
93.56393745,7.5457306,-5.4060516,-6.8591003,,,,
93.57379535,8.063156,-6.8032684,-4.659485,,,,
93.58562234,8.491058,-9.090897,-1.4799805,,,,
93.59781054,8.52533,-9.340637,-0.8288574,,,,
93.61403039,7.7723694,-7.491928,0.19410706,,,,
93.62462047,6.867401,-6.0112,0.536438,,,,
93.63424447,6.9206696,-6.286606,0.7004852,,,,
93.8061755,7.492737,-7.163986,1.0902252,,,,
93.83468154,3.5748596,-3.0290985,-3.4032898,,,,
93.84825256,4.090637,-3.4595642,-3.3610687,,,,
93.8609474,4.5296326,-3.6912537,-3.1133575,,,,
93.87255338,4.8914948,-3.826889,-2.913086,,,,
93.88488439,5.691559,-3.59906,-2.7402344,,,,
93.89299944,5.91922,-3.4606628,-2.6677551,,,,
93.90087345,6.622116,-3.2208252,-2.6438446,,,,
93.90924242,7.0703278,-3.257187,-2.7592316,,,,
93.92911747,7.1802216,-3.274704,-2.777954,,,,
93.93809035,7.680435,-3.7247772,-3.6939545,,,,
93.9472895,7.8388977,-3.8733826,-4.046402,,,,
93.95683649,8.3953705,-4.215271,-4.1885223,,,,
93.96585348,8.639236,-4.3969727,-4.3168945,,,,
93.97494843,8.826035,-4.719818,-4.6671295,,,,
93.98358253,8.887253,-5.083023,-4.888916,,,,
93.99195149,8.579681,-6.049698,-5.539261,,,,
93.99958137,8.60405,-6.2678833,-5.7917786,,,,
94.00737551,9.029282,-6.4847717,-6.0118103,,,,
94.01554444,9.333725,-6.454834,-5.918396,,,,
94.02634933,10.017899,-6.1904907,-5.5928802,,,,
94.0759125,10.574524,-4.9622803,-6.564102,,,,
94.09740546,10.202499,-4.9239655,-6.1551514,,,,
94.1189864,9.919876,-5.0966797,-4.5418396,,,,
94.12988451,9.7561035,-5.8501587,-3.1539307,,,,
94.14360049,8.67366,-5.878891,-2.1726532,,,,
94.15661552,6.967087,-5.6900024,-0.510376,,,,
94.16809943,5.8369446,-5.7326355,0.7284546,,,,
94.17901543,5.4931183,-6.062317,0.7837219,,,,
94.18814352,5.563736,-6.3363037,0.62535095,,,,
94.19748142,5.8615875,-7.5815887,0.43136597,,,,
94.20701054,6.144348,-8.106171,0.6785736,,,,
94.21720555,6.8159027,-10.120651,0.5783539,,,,
94.22577336,7.1071777,-10.911453,0.3990631,,,,
94.23407438,7.414734,-12.386795,0.12609863,,,,
94.24221757,7.620407,-12.902939,0.20057678,,,,
94.25073436,7.634918,-13.237473,0.026351929,,,,
94.2587755,7.624161,-12.939331,-0.20535278,,,,
94.26658657,7.1954803,-11.413239,-1.3108368,,,,
94.27402738,6.548584,-9.479462,-2.3655853,,,,
94.28228643,6.446213,-8.724945,-2.7382813,,,,
94.4477114,5.9449005,-7.257721,-3.059967,,,,
94.48344534,4.0876465,-6.5302734,-3.9819183,,,,
94.50329345,5.0893097,-5.649765,-4.695999,,,,
94.51743835,6.443161,-5.0172424,-5.4051514,,,,
94.53083532,6.879196,-4.907486,-5.3616333,,,,
94.54256647,7.298004,-5.2291718,-5.5738525,,,,
94.55303638,7.7108765,-5.812088,-6.235794,,,,
94.56497424,8.529037,-6.406723,-6.9081116,,,,
94.57448833,8.907303,-6.609894,-6.342285,,,,
94.58815043,8.782028,-6.5608063,-6.574875,,,,
94.59690326,8.301132,-6.778427,-7.259491,,,,
94.61084836,7.721573,-6.974045,-8.771637,,,,
94.61955541,7.282593,-6.939026,-9.178757,,,,
94.62752336,6.7283173,-6.807419,-9.743973,,,,
94.63376539,6.7287903,-6.6904297,-9.787338,,,,
94.64080327,6.992523,-6.36084,-9.26152,,,,
94.64653843,7.3345184,-6.512909,-8.435028,,,,
94.65363329,7.5599365,-6.9132843,-7.181961,,,,
94.65988844,8.5920105,-8.376175,-5.289917,,,,
94.66602533,8.5920105,-8.376175,-5.289917,,,,
94.67223828,8.5920105,-8.376175,-5.289917,,,,
94.6800484,8.894684,-9.062759,-4.6190796,,,,
94.68620437,9.519333,-9.714127,-3.224533,,,,
94.69323032,8.559341,-9.182465,-1.8440857,,,,
94.70019525,7.79657,-8.71373,-1.202179,,,,
94.70681136,6.4211884,-7.987076,-0.3060913,,,,
94.71311825,6.0121613,-7.6360626,-0.05117798,,,,
94.71995347,5.8051605,-7.263672,0.15206909,,,,
94.72670644,5.6316986,-6.2901917,0.23829651,,,,
94.73259824,5.615494,-5.8557434,0.29466248,,,,
94.73887032,5.741394,-5.4324036,0.44828796,,,,
94.74519747,6.606369,-5.3439484,0.66696167,,,,
94.75145524,7.2898254,-5.534668,0.72743225,,,,
94.75747245,8.124512,-5.826355,0.5903168,,,,
94.76365726,9.013794,-6.1955414,0.36134338,,,,
94.7704994,9.778854,-6.5650024,0.090408325,,,,
94.77845042,10.395111,-6.8867188,-0.22944641,,,,
94.78448647,11.100174,-7.290329,-0.83576965,,,,
94.79057734,11.055252,-7.4319305,-0.9755707,,,,
94.79755943,10.354431,-7.6337433,-1.1414642,,,,
94.80327838,9.871048,-7.560623,-1.2746124,,,,
94.80947536,9.41066,-7.4265137,-1.3841705,,,,
94.81530231,9.041107,-7.162796,-1.3463135,,,,
94.82162827,8.318939,-6.556015,-0.8279877,,,,
94.82743137,8.318939,-6.556015,-0.8279877,,,,
94.8336274,7.9924927,-6.0736237,-0.6599121,,,,
94.83974927,7.7720184,-5.8351746,-0.6190491,,,,
94.84618347,7.5115967,-5.6208496,-0.6058655,,,,
94.85220235,6.9012146,-5.2564087,-0.89204407,,,,
94.85794728,6.574341,-5.0413055,-1.1084747,,,,
94.8640384,6.0917816,-4.9125977,-1.3395691,,,,
