Time, x, y, z,,,,,,,,,,,,,,,,,,
10.56225204,7.355,8.121,3.064,,,,,,,,,,,,,,,,,,
10.57475305,7.355,8.121,3.064,,,,,,,,,,,,,,,,,,
10.58636808,4.443,8.734,0,,,,,,,,,,,,,,,,,,
10.59818602,8.581,7.968,-2.758,,,,,,,,,,,,,,,,,,
10.61098599,7.048,8.274,-1.072,,,,,,,,,,,,,,,,,,
10.62227893,4.443,7.355,-1.685,,,,,,,,,,,,,,,,,,
10.63567901,4.443,7.355,-1.685,,,,,,,,,,,,,,,,,,
10.64707088,7.202,6.282,-0.153,,,,,,,,,,,,,,,,,,
10.66309905,6.589,6.589,-0.612,,,,,,,,,,,,,,,,,,
10.676157,5.669,5.669,1.992,,,,,,,,,,,,,,,,,,
10.68677998,5.669,5.669,1.992,,,,,,,,,,,,,,,,,,
10.70554399,3.83,6.589,3.83,,,,,,,,,,,,,,,,,,
10.7465229,3.83,6.589,3.83,,,,,,,,,,,,,,,,,,
10.75878596,4.597,5.363,5.669,,,,,,,,,,,,,,,,,,
10.77205491,4.903,6.435,3.984,,,,,,,,,,,,,,,,,,
10.78322792,4.903,6.435,3.984,,,,,,,,,,,,,,,,,,
10.79449487,5.056,6.282,1.685,,,,,,,,,,,,,,,,,,
10.80625486,4.903,6.895,1.685,,,,,,,,,,,,,,,,,,
10.81851506,4.443,6.589,1.072,,,,,,,,,,,,,,,,,,
10.83063698,4.443,7.048,1.838,,,,,,,,,,,,,,,,,,
10.84161901,4.137,6.895,1.992,,,,,,,,,,,,,,,,,,
10.85407496,4.137,6.895,1.992,,,,,,,,,,,,,,,,,,
10.86829591,4.597,7.048,3.984,,,,,,,,,,,,,,,,,,
10.8810339,4.29,6.895,4.75,,,,,,,,,,,,,,,,,,
10.89350796,3.83,6.895,6.282,,,,,,,,,,,,,,,,,,
10.91328406,4.75,6.895,6.742,,,,,,,,,,,,,,,,,,
10.92518091,5.516,6.589,5.516,,,,,,,,,,,,,,,,,,
10.93725491,5.516,6.589,5.516,,,,,,,,,,,,,,,,,,
10.94839001,5.363,6.435,5.056,,,,,,,,,,,,,,,,,,
